OrgGroupCodeDesc,ContractNumber1,CentralNameLname1,CentralNameFname,ContractTitle1,CurrentContractStartDate,CurrentContractEndDate,CurrentContractAmount
"1680-OBS Information Services,Office of Business Services",C03-00192,Central Name,Central Name 2,REVENUE: New Paltz - Tax Collection System Maintenance ,2003-03-05 00:00:00,2049-12-31 00:00:00,0.0000
"1420-Central Svc County Attorney,Central Services",C03-00225,Central Name,Central Name 2,NYS DOT - Grant of Temporary Easement Lloyd Parcel #373,2003-04-10 00:00:00,2049-04-10 00:00:00,100.0000
"1420-Central Svc County Attorney,Central Services",C03-00229,Central Name,Central Name 2,NYS DOT - Grant of Temporary Easement Lloyd Parcel #371,2003-04-10 00:00:00,2049-04-10 00:00:00,300.0000
"8020-DSS Services Planning,DSS Services",C03-00177,Central Name,Central Name 2,Ulster County Transportation Council Agreement (MPO),2003-05-01 00:00:00,2049-04-30 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C08-00769,Central Name,Central Name 2,American Tower - Lease of Space on Illinois Mtn Tower,2003-06-01 00:00:00,2024-09-30 00:00:00,261892.6800
"3110-Jail Sheriff,Corrections",C03-00509,Central Name,Central Name 2,Government Payment - Bail/Fines Credit Card Collection Services,2003-08-12 00:00:00,2011-02-07 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C03-00537,Central Name,Central Name 2,Netsmart - Homecare Software Maintenance,2003-10-29 00:00:00,2018-07-31 00:00:00,509507.4480
"1490-DPW Adm DPW,DPW Administration",C04-00382,Central Name,Central Name 2,REVENUE: NYS DOT - Bailey Bridge Town of Denning PIN #8758.79 ,2004-02-02 00:00:00,2017-03-30 00:00:00,327380.0000
"1490-DPW Adm DPW,DPW Administration",C04-00084,Central Name,Central Name 2,REVENUE: NYS DOT - Bailey Bridge T/Denning PIN #8758.79,2004-02-02 00:00:00,2020-12-30 00:00:00,3343630.0000
"1680-OBS Information Services,Office of Business Services",C04-00199,Central Name,Central Name 2,Google - Anti-Spam & Email Security Services,2004-04-01 00:00:00,2014-06-30 00:00:00,229980.0000
"1450-Contracts Elections (Board of),Contract Management",C14-00079,Central Name,Central Name 2,REVENUE: NYS BOE - Submission of HAVA Operation Expenses by BOE ,2004-04-01 00:00:00,2022-03-31 00:00:00,329789.5800
"4010-Patient Serv Health,Patient Services",C05-00005,Central Name,Central Name 2,Audiological Screenings & Eval - Health Alliance,2004-05-14 00:00:00,2015-05-13 00:00:00,0.0219
"3020-Insurance Emergency Management / E911,Insurance",C04-00306,Central Name,Central Name 2,American Tower - Lease of Space on Illinois Mtn Tower(Ambul frq),2004-06-01 00:00:00,2019-05-31 00:00:00,111911.2800
"3020-Insurance Emergency Management / E911,Insurance",C04-00304,Central Name,Central Name 2,American Tower - Lease of Space on Illinois Mtn Tower(Fire frq) ,2004-06-01 00:00:00,2024-05-31 00:00:00,128747.5600
"3020-Insurance Emergency Management / E911,Insurance",C04-00305,Central Name,Central Name 2,American Tower - Lease of Space on Illinois Mtn Tower(2Fire frq),2004-06-01 00:00:00,2024-05-31 00:00:00,174611.7600
"1680-OBS Information Services,Office of Business Services",C04-00438,Central Name,Central Name 2,REVENUE: Ulster - Tax Collection System Maintenance ,2004-06-16 00:00:00,2049-12-31 00:00:00,0.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C04-00381,Central Name,Central Name 2,Kingston - Maintenance & Operation Water System Golden Hill ,2004-07-01 00:00:00,2022-06-30 00:00:00,900000.0274
"1490-Buildings & Grds DPW,Buildings & Grounds",C04-00427,Central Name,Central Name 2,Central Hudson - Easement to Facilitate Gas lines & Poles,2004-08-26 00:00:00,2049-08-31 00:00:00,1.0000
"6010-DSS Admin DSS,DSS Administration",C05-00210,Central Name,Central Name 2,Family of Woodstock - Kings Inn Rooms for Homeless Rates,2005-03-01 00:00:00,2036-12-31 00:00:00,0.0244
"5630-ARP UCAT,ARP",C05-00411,Central Name,Central Name 2,Ulster - Bus Shelter In Kind Maintenance Agreement,2005-05-11 00:00:00,2015-05-10 00:00:00,0.0000
"5630-ARP UCAT,ARP",C05-00413,Central Name,Central Name 2,Ellenville - Bus Shelter In Kind Maintenance Agreement,2005-06-28 00:00:00,2015-06-27 00:00:00,0.0000
"4010-Env Health Health,Environmental Health Services",2005-00000001,Central Name,Central Name 2,REVENUE: NYC DEP - Watershed On-Site Sewage Disposal Sys CAT-317,2005-07-01 00:00:00,2020-06-29 00:00:00,317616.0000
"5630-ARP UCAT,ARP",C05-00412,Central Name,Central Name 2,Shandaken - Bus Shelter In Kind Maintenance Agreement,2005-07-05 00:00:00,2015-07-04 00:00:00,0.0000
"1490-Buildings & Grds DPW,Buildings & Grounds",C05-00532,Central Name,Central Name 2,Central Hudson - Easement to Facilitate Gas Line at Sheehan Ct ,2005-09-19 00:00:00,2025-04-18 00:00:00,1.0000
"1420-Central Svc County Attorney,Central Services",C05-00544,Central Name,Central Name 2,UCEDA - Highland Water District Improvements:Shovel Ready Funds ,2005-11-29 00:00:00,2055-11-28 00:00:00,350643.0000
"6010-DSS Services DSS,DSS Services",Canceled,Central Name,Central Name 2,Canceled,2006-01-01 00:00:00,2016-12-31 00:00:00,0.0000
"1490-Highw & Bridges DPW,Highways & Bridges",C06-00222,Central Name,Central Name 2,HVEA - Prelim Engineer - Mud Tavern Bridge Replace  PIN #8756.66,2006-02-01 00:00:00,2015-06-30 00:00:00,240604.8300
"1490-DPW Eng DPW,Engineering",C06-00169,Central Name,Central Name 2,AECOM - Sawkill School Bridge/TUlster Design PIN #8756.20 ,2006-02-01 00:00:00,2016-09-30 00:00:00,494811.0000
"1490-DPW Adm DPW,DPW Administration",C06-00238,Central Name,Central Name 2,Royal Carting (Panichi) - Refuse & Recycling Various Buildings,2006-04-01 00:00:00,2014-12-31 00:00:00,60458.6318
"1450-Contracts Elections (Board of),Contract Management",C07-00144,Central Name,Central Name 2,REVENUE: NYS BOE - 2006 Voting Access for  Disabled Grant,2006-04-01 00:00:00,2022-03-31 00:00:00,55985.0000
"8020-DSS Services Planning,DSS Services",C07-00301,Central Name,Central Name 2,REVENUE: NYS DOT - Rt 209 Multi-Modal Transp+ Study PIN #8177.48,2006-07-12 00:00:00,2016-07-01 00:00:00,500000.0000
"1490-DPW Eng DPW,Engineering",C06-00419,Central Name,Central Name 2,C&S Engineers - Bailey Bridge Prelim Engineer/ROW PIN #8758.79,2006-08-01 00:00:00,2016-09-30 00:00:00,358537.9200
"1490-Buildings & Grds DPW,Buildings & Grounds",C06-00499,Central Name,Central Name 2,UC Soil & Water - Revocable Land License for Kiosk Location  ,2006-09-19 00:00:00,2023-09-19 00:00:00,0.0000
"3110-Sher Admin Sheriff,Sheriff Administration",C07-00378,Central Name,Central Name 2,Rocket - Blue Zone Emulator Software & TMS Support & Maintenance,2006-10-01 00:00:00,2019-09-30 00:00:00,23178.4000
"1450-Contracts Elections (Board of),Contract Management",C07-00147,Central Name,Central Name 2,REVENUE: NYS BOE - Voter Education & Poll Worker Training Grant,2006-10-01 00:00:00,2022-03-31 00:00:00,111970.0000
"6010-DSS Admin DSS,DSS Administration",C07-00172,Central Name,Central Name 2,Gateway - CWEP Site Sponsor ,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00173,Central Name,Central Name 2,SUNY Ulster - CWEP Site Sponsor ,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00175,Central Name,Central Name 2,UC Community Action - CWEP Site Sponsor,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00344,Central Name,Central Name 2,New Paltz - CWEP Site Sponsor,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00534,Central Name,Central Name 2,CWEP Site Sponsor - Family of Woodstock,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00342,Central Name,Central Name 2,Wawarsing - CWEP Site Sponsor,2007-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C07-00174,Central Name,Central Name 2,UC BOCES - CWEP Site Sponsor ,2007-03-15 00:00:00,2017-03-14 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C08-00304,Central Name,Central Name 2,HelpSystems -Software Maintenance Public Safety Paging Interface,2007-04-01 00:00:00,2019-03-31 00:00:00,16616.0000
"5630-ARP UCAT,ARP",C07-00304,Central Name,Central Name 2,Bus Shelter In Kind Maintenance Agreement,2007-04-11 00:00:00,2017-04-10 00:00:00,0.0000
"5630-ARP UCAT,ARP",C07-00384,Central Name,Central Name 2,Saugerties - Bus Shelter In Kind Maintenance Agreement ,2007-05-16 00:00:00,2017-06-26 00:00:00,0.0000
"5630-ARP UCAT,ARP",C07-00373,Central Name,Central Name 2,Esopus - Bus Shelter In Kind Maintenance Agreement ,2007-05-17 00:00:00,2017-06-20 00:00:00,0.0000
"5630-ARP UCAT,ARP",C07-00331,Central Name,Central Name 2,Wawarsing - Bus Shelter In Kind Maintenance Agreement,2007-05-18 00:00:00,2017-05-17 00:00:00,0.0000
"5630-ARP UCAT,ARP",C07-00350,Central Name,Central Name 2,Ellenville - Bus Shelter In Kind Maintenance Agreement,2007-05-29 00:00:00,2017-05-28 00:00:00,0.0000
"3110-Jail Sheriff,Corrections",C10-00549,Central Name,Central Name 2,LexisNexis Matthew - Legal Research Kiosks Sheriff Corrections,2007-07-01 00:00:00,2022-06-30 00:00:00,236386.0000
"1420-Central Svc County Attorney,Central Services",C07-00370,Central Name,Central Name 2,Verizon - 63 Golden Hill Drive Easement #56.040-1-19,2007-07-09 00:00:00,2020-12-31 00:00:00,1.0000
"5630-ARP UCAT,ARP",C07-00482,Central Name,Central Name 2,New Paltz - Bus Shelter In Kind Maintenance Agreement,2007-07-20 00:00:00,2017-07-19 00:00:00,0.0000
"3020-Insurance Emergency Management / E911,Insurance",C07-00573,Central Name,Central Name 2,DO NOT USE - Kingston - Haz-Mat Response ,2007-08-19 00:00:00,2017-08-18 00:00:00,325000.0000
"3020-Insurance Emergency Management / E911,Insurance",C07-00573A,Central Name,Central Name 2,Kingston - Haz-Mat Response ,2007-08-19 00:00:00,2022-08-18 00:00:00,400000.0000
"1680-OBS Information Services,Office of Business Services",C07-00697,Central Name,Central Name 2,NYS Defenders Assn - Software Maintenance Public Defense CaseMgt,2007-10-24 00:00:00,2019-10-23 00:00:00,24000.0000
"5630-ARP UCAT,ARP",C07-00146,Central Name,Central Name 2,Rosendale - Bus Shelter In Kind Maintenance Agreement,2007-11-11 00:00:00,2017-11-10 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C08-00260,Central Name,Central Name 2,Rochester - CWEP Site Sponsor ,2008-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C08-00261,Central Name,Central Name 2,Shandaken - CWEP Site Sponsor,2008-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"6010-DSS Admin DSS,DSS Administration",C08-00252,Central Name,Central Name 2,Marlborough - CWEP Site Sponsor ,2008-01-01 00:00:00,2017-03-14 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C08-00232,Central Name,Central Name 2,SunGard - Software Support HTE Financial System,2008-01-01 00:00:00,2015-12-31 00:00:00,589965.1200
"6010-DSS Admin DSS,DSS Administration",C08-00187,Central Name,Central Name 2,Ricoh - Lease Copier DSS Admin (Ricoh MP3500; MP4500 & MP3010),2008-02-20 00:00:00,2014-02-19 00:00:00,549323.3400
"1490-Buildings & Grds DPW,Buildings & Grounds",C08-00192,Central Name,Central Name 2,Thyssenkrupp - Elevator Maintenance & Repair Multiple Bldgs,2008-04-01 00:00:00,2014-08-31 00:00:00,142740.3859
"6010-DSS Admin DSS,DSS Administration",C07-00338,Central Name,Central Name 2,Marbletown - CWEP Site Sponsor ,2008-04-10 00:00:00,2017-03-14 00:00:00,0.0000
"1680-OBS Information Services,Office of Business Services",C09-00178,Central Name,Central Name 2,ESRI - Software Support and Maintenance ArcGIS,2008-05-13 00:00:00,2018-05-12 00:00:00,206684.7800
"6510-DSS Services Veterans Services,DSS Services",C08-00754,Central Name,Central Name 2,New Paltz Rural Cemetery - Burial Plots for Veterans ,2008-05-14 00:00:00,2025-12-31 00:00:00,0.0825
"6010-DSS Admin DSS,DSS Administration",C08-00341,Central Name,Central Name 2,RUPCO - CWEP Site Sponsor ,2008-06-01 00:00:00,2017-03-14 00:00:00,0.0000
"5630-ARP UCAT,ARP",C08-00379,Central Name,Central Name 2,Bus Shelter In Kind Maintenance Agreement,2008-06-26 00:00:00,2020-12-31 00:00:00,0.0000
"6010-DSS Legal DSS,Legal",2008-00000001,Central Name,Central Name 2,Delete - Error,2008-07-01 00:00:00,2020-06-30 00:00:00,0.0000
"3110-Sher Admin Sheriff,Sheriff Administration",2008-00000002,Central Name,Central Name 2,REVENUE: US Marshals Federal Board-Ins 52-08-0040,2008-07-01 00:00:00,2025-12-31 00:00:00,0.1000
"1490-Buildings & Grds DPW,Buildings & Grounds",C07-00587,Central Name,Central Name 2,Spring Lake Fire Dept - Lease of Garage Central Auto,2008-09-15 00:00:00,2023-09-14 00:00:00,432249.9900
"8090-OBS Environment,Office of Business Services",C11-00282,Central Name,Central Name 2,REVENUE: NYS DEC - Open Space Planning,2008-10-20 00:00:00,2014-09-19 00:00:00,30000.0000
